1,"FT8 160m",1840000,3,0
2,"FT8 80m",3573000,3,0
3,"FT8 60m",5357000,3,0
4,"FT8 40m",7074000,3,0
5,"FT8 30m",10136000,3,0
6,"FT8 20m",14074000,3,0
7,"FT8 17m",18100000,3,0
8,"FT8 15m",21074000,3,0
9,"FT8 12m",24915000,3,0
10,"FT8 10m",28074000,3,0
11,"FT8 6m",50313000,3,0
12,"FT4 80m",3575000,3,1
13,"FT4 40m",7047500,3,1
14,"FT4 30m",10140000,3,1
15,"FT4 20m",14080000,3,1
16,"FT4 17m",18104000,3,1
17,"FT4 15m",21140000,3,1
18,"FT4 12m",24919000,3,1
19,"FT4 10m",28180000,3,1
20,"FT4 6m",50318000,3,1
21,"JS8 160m",1842000,3,2
22,"JS8 80m",3578000,3,2
23,"JS8 40m",7078000,3,2
24,"JS8 30m",10130000,3,2
25,"JS8 20m",14078000,3,2
26,"JS8 17m",18104000,3,2
27,"JS8 15m",21078000,3,2
28,"JS8 12m",24922000,3,2
29,"JS8 10m",28078000,3,2
30,"JS8 6m",50318000,3,2
